Seat,con_2015,lab_2015,ld_2015,ukip_2015,leave_share,born_in_uk,male,unemployed,degree,age_18to24
Aldershot,50.592,18.333,8.824,17.867,57.8977657,83.10463617,49.89896268,3.636999702,13.8706609,9.406093031
Aldridge-Brownhills,52.05,22.369,3.367,19.624,67.7963496,96.12206719,48.92950867,4.553606657,9.97411371,7.325850287
Altrincham and Sale West,52.994,26.686,8.383,8.011,38.5878,90.48565601,48.90621279,3.039962906,28.60013483,6.437452765
Amber Valley,43.979,34.781,2.975,15.887,65.2991247,97.30437058,49.21657203,4.261172587,9.336294171,7.747801054
Arundel and South Downs,60.788,11.197,7.192,14.438,49.7011058,93.3379255,48.0018917,2.468099881,18.77559148,5.734730176
Ashfield,22.418,41.022,14.828,21.409,70.4728888,96.96214455,49.17185078,4.74273109,6.085456892,8.209863218
Ashford,52.454,18.441,5.984,18.821,59.8619474,90.50823446,48.52222419,3.687888681,13.12173105,7.81565433
Ashton-under-Lyne,22.123,49.761,2.423,21.759,61.8098026,90.72874762,49.17554485,5.108282361,7.899545261,8.937491711
Aylesbury,50.674,15.141,10.619,19.713,51.7879098,86.95974155,49.51262184,3.390869166,17.79894007,7.561072695
Banbury,53.008,21.297,5.93,13.877,50.3477977,88.82538498,49.45814395,2.93209337,16.70032375,7.606336069
Barking,16.308,57.68,1.306,22.197,59.9748796,66.39277918,48.90158855,7.36482139,14.44073921,9.631028591
Barnsley Central,15.003,55.733,2.106,21.72,68.1881304,95.60281868,49.3501645,5.337255395,8.134895096,8.60886203
Barnsley East,14.596,54.726,3.16,23.483,70.9849935,97.13492713,48.95061592,5.620403787,6.520968534,8.345312604
Barrow and Furness,40.497,42.334,2.701,11.716,57.2787065,96.96597843,49.37180555,4.202689357,10.66508927,7.775876433
Basildon and Billericay,52.682,23.673,3.802,19.843,67.1358773,92.50616031,48.17420585,4.613723834,10.88123572,7.790426706
Basingstoke,48.551,27.707,7.384,15.619,53.598782,87.02729731,49.44534983,3.631748266,16.51957404,8.045668358
Bassetlaw,30.68,48.621,2.7,15.957,68.322755,95.24217787,49.49040536,4.016111525,9.035628338,7.798050247
Bath,37.808,13.179,29.682,6.195,31.7245489,86.22986979,48.99334901,2.777410201,28.90385712,18.675654689999998
Batley and Spen,31.239,43.238,4.747,17.988,59.6283976,90.17043717,49.35819609,4.93943057,10.56081487,8.697949008
Battersea,52.38,36.825,4.391,3.108,22.0467406,65.48369866,48.89278318,3.849258516,51.09832347,9.022669128
Beaconsfield,63.241,11.425,7.387,13.75,49.0062673,86.60287563,48.39164076,2.649099841,24.83328789,6.423375291
Beckenham,57.281,19.433,6.922,12.516,48.3817049,86.76719036,48.16977164,3.208042518,23.16356998,7.061176173
Bedford,42.583,40.203,4.249,9.621,51.9491665,77.29800328,49.27572082,5.366740977,15.43303776,10.06668909
