"Country Code","Short Name","Table Name","Long Name","2-alpha code","Currency Unit","Special Notes","Region","Income Group","WB-2 code","National accounts base year","National accounts reference year","SNA price valuation","Lending category","Other groups","System of National Accounts","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Latest population census","Latest household survey","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data",
"AFG","Afghanistan","Afghanistan","Islamic State of Afghanistan","AF","Afghan afghani","Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.","South Asia","Low income","AF","2002/03","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","","","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","1979","Demographic and Health Survey, 2015","Integrated household survey (IHS), 2011","","","","2017",
"AGO","Angola","Angola","People's Republic of Angola","AO","Angolan kwanza","","Sub-Saharan Africa","Lower middle income","AO","2002","","Value added at producer prices (VAP)","IBRD","","Country uses the 1993 System of National Accounts methodology","1991–96","2011","BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2008/09","","","","2017",
"ALB","Albania","Albania","Republic of Albania","AL","Albanian lek","","Europe & Central Asia","Upper middle income","AL","Original chained constant price data are rescaled.","1996","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","Rolling","BPM6","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Living Standards Measurement Survey, 2012","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2013","2013","2017",
"ARG","Argentina","Argentina","Argentine Republic","AR","Argentine peso","National Institute of Statistics and Census revised national accounts from 2004-2015. Argentina, which was temporarily unclassified in July 2016 pending release of revised national accounts statistics, is classified as upper middle income for FY17 as of September 29, 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period.","Latin America & Caribbean","High income","AR","2004","","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","1971–84; 2012-15","","BPM6","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Multiple Indicator Cluster Survey, 2011/12","Integrated household survey (IHS), 2016","Yes","2002","2002","2017",
"BEN","Benin","Benin","Republic of Benin","BJ","West African CFA franc","","Sub-Saharan Africa","Low income","BJ","2007","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","1992","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2013","Multiple Indicator Cluster Survey, 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015","","","1981","2017",
"BFA","Burkina Faso","Burkina Faso","Burkina Faso","BF","West African CFA franc","","Sub-Saharan Africa","Low income","BF","1999","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology","1992–93","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2006","Malaria Indicator Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014","","","1983","2017",
"BGD","Bangladesh","Bangladesh","People's Republic of Bangladesh","BD","Bangladeshi taka","Fiscal year end: June 30; reporting period for national accounts data: FY.","South Asia","Lower middle income","BD","2005/06","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Demographic and Health Survey, 2017/18","Integrated household survey (IHS), 2016","","2011","2011","2017",
"BGR","Bulgaria","Bulgaria","Republic of Bulgaria","BG","Bulgarian lev","","Europe & Central Asia","Upper middle income","BG","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","1978–89, 1991–92","Rolling","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS+)","2011","Living Standards Measurement Study, 2007","Expenditure survey/budget survey (ES/BS), 2014","Yes","2014","2014","2017",
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina","BA","Bosnia and Herzegovina convertible mark","","Europe & Central Asia","Upper middle income","BA","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","Rolling","BPM6","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2013","Multiple Indicator Cluster Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2015","Yes","2011","2011","2017",
"BOL","Bolivia","Bolivia","Plurinational State of Bolivia","BO","Bolivian Boliviano","","Latin America & Caribbean","Lower middle income","BO","1990","","Value added at basic prices (VAB)","IBRD","HIPC","Country uses the 1968 System of National Accounts methodology","1960–85","2011","BPM6","Actual","General trade system","","Enhanced General Data Dissemination System (e-GDDS)","2012","Demographic and Health Survey, 2008","Integrated household survey (IHS), 2015","","2010","2010","2017",
"BRA","Brazil","Brazil","Federative Republic of Brazil","BR","Brazilian real","","Latin America & Caribbean","Upper middle income","BR","Original chained constant price data are rescaled.","2000","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2010","Brazil National Demographic and Health Survey of Children and Women, 2006","Integrated household survey (IHS), 2015","Yes","2013","2013","2017",
"BTN","Bhutan","Bhutan","Kingdom of Bhutan","BT","Bhutanese ngultrum","","South Asia","Lower middle income","BT","2000","","Value added at basic prices (VAB)","IDA","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2005","Multiple Indicator Cluster Survey, 2010","Integrated household survey (IHS), 2012","","","","2017",
"BWA","Botswana","Botswana","Republic of Botswana","BW","Botswana pula","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.","Sub-Saharan Africa","Upper middle income","BW","2006","","Value added at basic prices (VAB)","IBRD","","Country uses the 1993 System of National Accounts methodology","","2011","BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Family Health Survey 2007/08","Expenditure survey/budget survey (ES/BS), 2009/10","","2013","2013","2017",
"CAF","Central African Republic","Central African Republic","Central African Republic","CF","Central African CFA franc","The source of national accounts has changed to the International Monetary Fund. The base year has reverted back to 1985; the new reference year is 2005.","Sub-Saharan Africa","Low income","CF","2005","","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology","","2011","BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2003","Multiple Indicator Cluster Survey, 2010","Priority survey (PS), 2008","","","1993","2017",
"CAN","Canada","Canada","Canada","CA","Canadian dollar","Fiscal year end: March 31; reporting period for national accounts data: CY.","North America","High income","CA","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","","General trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS+)","2016","","Labor force survey (LFS), 2013","Yes","2014","2014","2017",
"CHL","Chile","Chile","Republic of Chile","CL","Chilean peso","Country uses chain linked methodology.","Latin America & Caribbean","High income","CL","Original chained constant price data are rescaled.","2013","Value added at basic prices (VAB)","IBRD","","Country uses the 2008 System of National Accounts methodology","","2011","BPM6","","General trade system","","Special Data Dissemination Standard (SDDS)","2012","","Integrated household survey (IHS), 2015","Yes","2013","2013","2017",
